,title,subtitles,link
65,RASH MOVE,'I ain't paying £10m' - Former Man Utd star claims Rashford should move to MLS,https://www.thesun.co.uk/sport/32488928/marcus-rashford-man-utd-mls-transfer-foster/
66,IMPORTANT,Clarification on Dream Team schedule over festive period plus Gameweek deadlines,https://www.thesun.co.uk/sport/football/dream-team/32357350/dream-team-gameweeks-calendar-fixtures-christmas-festive-fantasy/
67,DIFFERENTIAL ALERT,1.3%-owned Enzo Fernandez has racked up 64 points in his last six games,https://www.thesun.co.uk/sport/football/dream-team/32247279/enzo-fernandez-fantasy-football-form-price-fixtures-chelsea/
68,QUIDS IN,"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/
69,HOME GROUND,Stunning apartment inside former Premier League stadium listed up for sale,https://www.thesun.co.uk/sport/32460259/apartment-arsenal-highbury-stadium-for-sale/
70,FESTIVE FUN,Rashford enjoys Christmas dinner with his family with Man Utd future up in air,https://www.thesun.co.uk/sport/32481644/marcus-rashford-christmas-dinner-family-man-utd-future/
71,FOOTBALL FACTORY,I was sacked as a factory worker then trained with Arsenal just days later,https://www.thesun.co.uk/sport/32148214/cohen-bramall-arsenal-rotherham-factory/
72,GROUNDS TO IMPROVE,Premier League club announces major stadium changes with new capacity,https://www.thesun.co.uk/sport/32475274/premier-league-stadium-new-capacity-away-fans-brighton/
73,OWEN GOAL,Owen names 'sad thing about Man Utd these days' and slams 'stupid' new signing,https://www.thesun.co.uk/sport/32469706/man-utd-noussar-mazraoui-michael-owen-criticism/
74,DAVE KIDD,FA disappeared down a rabbit hole with double standards over rainbow armband,https://www.thesun.co.uk/sport/32107819/fa-sam-morsy-marc-guehi-rainbow-armband-lgbtq/
75,KARREN BRADY,Lineker is being replaced by two women and a man on MOTD - BBC should be proud,https://www.thesun.co.uk/sport/32425569/karren-brady-gary-lineker-bbc-match-of-the-day/
76,HARRY REDKNAPP,"Lee Carsley was FA's first choice to be England manager, not Thomas Tuchel",https://www.thesun.co.uk/sport/31761645/lee-carsley-england-thomas-tuchel-harry-redknapp/
